[score_all] opt=opt2_loop_interchange level=2 | call=66 | elapsed=7.366 ms (7366 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.773 | cumulative=202.579 ms / 66 calls (avg=3.069 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=67 | elapsed=7.354 ms (7354 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.727 | cumulative=209.933 ms / 67 calls (avg=3.133 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=68 | elapsed=7.360 ms (7360 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.750 | cumulative=217.293 ms / 68 calls (avg=3.195 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=69 | elapsed=7.403 ms (7403 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.918 | cumulative=224.696 ms / 69 calls (avg=3.256 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=70 | elapsed=0.130 ms (130 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.500 | cumulative=224.826 ms / 70 calls (avg=3.212 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=71 | elapsed=0.128 ms (128 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.000 | cumulative=224.954 ms / 71 calls (avg=3.168 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=72 | elapsed=0.129 ms (129 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.250 | cumulative=225.083 ms / 72 calls (avg=3.126 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=73 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=225.206 ms / 73 calls (avg=3.085 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=74 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=225.329 ms / 74 calls (avg=3.045 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=75 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=225.451 ms / 75 calls (avg=3.006 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=76 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=225.570 ms / 76 calls (avg=2.968 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=77 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=225.688 ms / 77 calls (avg=2.931 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=78 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=225.807 ms / 78 calls (avg=2.895 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=79 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=225.928 ms / 79 calls (avg=2.860 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=80 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=226.050 ms / 80 calls (avg=2.826 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=81 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=226.168 ms / 81 calls (avg=2.792 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=82 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=226.288 ms / 82 calls (avg=2.760 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=83 | elapsed=0.117 ms (117 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.250 | cumulative=226.405 ms / 83 calls (avg=2.728 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=84 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=226.527 ms / 84 calls (avg=2.697 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=85 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=226.649 ms / 85 calls (avg=2.666 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=86 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=226.768 ms / 86 calls (avg=2.637 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=87 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=226.891 ms / 87 calls (avg=2.608 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=88 | elapsed=0.117 ms (117 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.250 | cumulative=227.008 ms / 88 calls (avg=2.580 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=89 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=227.128 ms / 89 calls (avg=2.552 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=90 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=227.248 ms / 90 calls (avg=2.525 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=91 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=227.368 ms / 91 calls (avg=2.499 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=92 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=227.486 ms / 92 calls (avg=2.473 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=93 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=227.604 ms / 93 calls (avg=2.447 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=94 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=227.724 ms / 94 calls (avg=2.423 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=95 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=227.843 ms / 95 calls (avg=2.398 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=96 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=227.966 ms / 96 calls (avg=2.375 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=97 | elapsed=0.122 ms (122 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.500 | cumulative=228.088 ms / 97 calls (avg=2.351 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=98 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=228.209 ms / 98 calls (avg=2.329 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=99 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=228.332 ms / 99 calls (avg=2.306 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=100 | elapsed=0.118 ms (118 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.500 | cumulative=228.450 ms / 100 calls (avg=2.284 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=101 | elapsed=0.117 ms (117 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.250 | cumulative=228.567 ms / 101 calls (avg=2.263 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=102 | elapsed=0.125 ms (125 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.250 | cumulative=228.692 ms / 102 calls (avg=2.242 ms/call)
