[score_all] LOADED opt=opt6_best level=6 openmp=1
[score_all] opt=opt6_best level=6 | call=45 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=30.800 ms / 45 calls (avg=0.684 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=46 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=30.887 ms / 46 calls (avg=0.671 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=47 | elapsed=0.134 ms (134 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=33.500 | cumulative=31.021 ms / 47 calls (avg=0.660 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=48 | elapsed=0.130 ms (130 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.500 | cumulative=31.151 ms / 48 calls (avg=0.649 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=49 | elapsed=0.237 ms (237 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=59.250 | cumulative=31.388 ms / 49 calls (avg=0.641 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=50 | elapsed=0.143 ms (143 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=35.750 | cumulative=31.531 ms / 50 calls (avg=0.631 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=51 | elapsed=0.088 ms (88 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=22.000 | cumulative=31.619 ms / 51 calls (avg=0.620 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=52 | elapsed=0.120 ms (120 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.000 | cumulative=31.739 ms / 52 calls (avg=0.610 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=53 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=31.858 ms / 53 calls (avg=0.601 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=54 | elapsed=0.115 ms (115 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.750 | cumulative=31.973 ms / 54 calls (avg=0.592 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=55 | elapsed=1.382 ms (1382 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.398 | cumulative=33.355 ms / 55 calls (avg=0.606 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=56 | elapsed=1.545 ms (1545 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.035 | cumulative=34.900 ms / 56 calls (avg=0.623 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=57 | elapsed=1.678 ms (1678 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.555 | cumulative=36.578 ms / 57 calls (avg=0.642 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=58 | elapsed=1.583 ms (1583 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.184 | cumulative=38.161 ms / 58 calls (avg=0.658 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=59 | elapsed=1.590 ms (1590 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.211 | cumulative=39.751 ms / 59 calls (avg=0.674 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=60 | elapsed=1.568 ms (1568 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.125 | cumulative=41.319 ms / 60 calls (avg=0.689 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=61 | elapsed=1.771 ms (1771 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.918 | cumulative=43.090 ms / 61 calls (avg=0.706 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=62 | elapsed=1.400 ms (1400 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.469 | cumulative=44.490 ms / 62 calls (avg=0.718 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=63 | elapsed=1.469 ms (1469 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.738 | cumulative=45.959 ms / 63 calls (avg=0.730 ms/call) | path=omp_cand | openmp=1
