[score_all] LOADED opt=opt9_hybrid_bench level=9 cuda=1 (bench hybrid: n=4 CPU, n<2048 OpenMP, n>=2048 GPU)
[score_all] opt=opt9_hybrid_bench level=9 | call=77 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=61.455 ms / 77 calls (avg=0.798 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=78 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=61.541 ms / 78 calls (avg=0.789 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=79 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=61.625 ms / 79 calls (avg=0.780 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=80 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=61.709 ms / 80 calls (avg=0.771 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=81 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=61.793 ms / 81 calls (avg=0.763 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=82 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=61.879 ms / 82 calls (avg=0.755 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=83 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=61.966 ms / 83 calls (avg=0.747 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=84 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=62.052 ms / 84 calls (avg=0.739 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=85 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=62.138 ms / 85 calls (avg=0.731 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=86 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=62.222 ms / 86 calls (avg=0.724 ms/call) | path=n4 | cuda=1
