[score_all] LOADED opt=opt8_cpu_slam level=8 (cpu_slam: n=4 N4, n>=8 OpenMP, no GPU)
[score_all] opt=opt8_cpu_slam level=8 | call=44 | elapsed=1.596 ms (1596 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.234 | cumulative=32.494 ms / 44 calls (avg=0.739 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=45 | elapsed=1.519 ms (1519 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.934 | cumulative=34.013 ms / 45 calls (avg=0.756 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=46 | elapsed=1.831 ms (1831 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.152 | cumulative=35.844 ms / 46 calls (avg=0.779 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=47 | elapsed=1.528 ms (1528 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.969 | cumulative=37.372 ms / 47 calls (avg=0.795 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=48 | elapsed=1.549 ms (1549 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.051 | cumulative=38.921 ms / 48 calls (avg=0.811 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=49 | elapsed=1.545 ms (1545 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.035 | cumulative=40.466 ms / 49 calls (avg=0.826 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=50 | elapsed=1.593 ms (1593 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.223 | cumulative=42.059 ms / 50 calls (avg=0.841 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=51 | elapsed=1.568 ms (1568 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.125 | cumulative=43.627 ms / 51 calls (avg=0.855 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=52 | elapsed=1.509 ms (1509 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.895 | cumulative=45.136 ms / 52 calls (avg=0.868 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=53 | elapsed=1.552 ms (1552 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.062 | cumulative=46.688 ms / 53 calls (avg=0.881 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=54 | elapsed=1.485 ms (1485 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.801 | cumulative=48.173 ms / 54 calls (avg=0.892 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=55 | elapsed=1.580 ms (1580 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.172 | cumulative=49.753 ms / 55 calls (avg=0.905 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=56 | elapsed=1.412 ms (1412 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.516 | cumulative=51.165 ms / 56 calls (avg=0.914 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=57 | elapsed=1.544 ms (1544 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.031 | cumulative=52.709 ms / 57 calls (avg=0.925 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=58 | elapsed=0.095 ms (95 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.750 | cumulative=52.804 ms / 58 calls (avg=0.910 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=59 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=52.891 ms / 59 calls (avg=0.896 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=60 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=52.978 ms / 60 calls (avg=0.883 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=61 | elapsed=0.079 ms (79 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=19.750 | cumulative=53.057 ms / 61 calls (avg=0.870 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=62 | elapsed=0.079 ms (79 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=19.750 | cumulative=53.136 ms / 62 calls (avg=0.857 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=63 | elapsed=0.081 ms (81 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.250 | cumulative=53.217 ms / 63 calls (avg=0.845 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=64 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=53.303 ms / 64 calls (avg=0.833 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=65 | elapsed=0.088 ms (88 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=22.000 | cumulative=53.391 ms / 65 calls (avg=0.821 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=66 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=53.551 ms / 66 calls (avg=0.811 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=67 | elapsed=0.211 ms (211 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=52.750 | cumulative=53.762 ms / 67 calls (avg=0.802 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=68 | elapsed=0.192 ms (192 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=48.000 | cumulative=53.954 ms / 68 calls (avg=0.793 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=69 | elapsed=0.212 ms (212 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=53.000 | cumulative=54.166 ms / 69 calls (avg=0.785 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=70 | elapsed=0.097 ms (97 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.250 | cumulative=54.263 ms / 70 calls (avg=0.775 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=71 | elapsed=0.225 ms (225 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=56.250 | cumulative=54.488 ms / 71 calls (avg=0.767 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=72 | elapsed=0.191 ms (191 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=47.750 | cumulative=54.679 ms / 72 calls (avg=0.759 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=73 | elapsed=0.104 ms (104 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.000 | cumulative=54.783 ms / 73 calls (avg=0.750 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=74 | elapsed=0.132 ms (132 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=33.000 | cumulative=54.915 ms / 74 calls (avg=0.742 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=75 | elapsed=0.103 ms (103 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=25.750 | cumulative=55.018 ms / 75 calls (avg=0.734 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=76 | elapsed=0.085 ms (85 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.250 | cumulative=55.103 ms / 76 calls (avg=0.725 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=77 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=55.190 ms / 77 calls (avg=0.717 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=78 | elapsed=0.126 ms (126 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.500 | cumulative=55.316 ms / 78 calls (avg=0.709 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=79 | elapsed=0.097 ms (97 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.250 | cumulative=55.413 ms / 79 calls (avg=0.701 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=80 | elapsed=0.104 ms (104 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.000 | cumulative=55.517 ms / 80 calls (avg=0.694 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=81 | elapsed=0.094 ms (94 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.500 | cumulative=55.611 ms / 81 calls (avg=0.687 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=82 | elapsed=0.095 ms (95 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.750 | cumulative=55.706 ms / 82 calls (avg=0.679 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=83 | elapsed=0.117 ms (117 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.250 | cumulative=55.823 ms / 83 calls (avg=0.673 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=84 | elapsed=0.119 ms (119 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.750 | cumulative=55.942 ms / 84 calls (avg=0.666 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=85 | elapsed=0.143 ms (143 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=35.750 | cumulative=56.085 ms / 85 calls (avg=0.660 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=86 | elapsed=0.125 ms (125 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.250 | cumulative=56.210 ms / 86 calls (avg=0.654 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=87 | elapsed=0.141 ms (141 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=35.250 | cumulative=56.351 ms / 87 calls (avg=0.648 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=88 | elapsed=0.134 ms (134 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=33.500 | cumulative=56.485 ms / 88 calls (avg=0.642 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=89 | elapsed=0.099 ms (99 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.750 | cumulative=56.584 ms / 89 calls (avg=0.636 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=90 | elapsed=1.374 ms (1374 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.367 | cumulative=57.958 ms / 90 calls (avg=0.644 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=91 | elapsed=1.645 ms (1645 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.426 | cumulative=59.603 ms / 91 calls (avg=0.655 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=92 | elapsed=1.714 ms (1714 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.695 | cumulative=61.317 ms / 92 calls (avg=0.666 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=93 | elapsed=1.519 ms (1519 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.934 | cumulative=62.836 ms / 93 calls (avg=0.676 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=94 | elapsed=1.529 ms (1529 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.973 | cumulative=64.365 ms / 94 calls (avg=0.685 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=95 | elapsed=1.524 ms (1524 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.953 | cumulative=65.889 ms / 95 calls (avg=0.694 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=96 | elapsed=1.616 ms (1616 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.312 | cumulative=67.505 ms / 96 calls (avg=0.703 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=97 | elapsed=1.510 ms (1510 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.898 | cumulative=69.015 ms / 97 calls (avg=0.711 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=98 | elapsed=1.539 ms (1539 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.012 | cumulative=70.554 ms / 98 calls (avg=0.720 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=99 | elapsed=1.617 ms (1617 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.316 | cumulative=72.171 ms / 99 calls (avg=0.729 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=100 | elapsed=1.506 ms (1506 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.883 | cumulative=73.677 ms / 100 calls (avg=0.737 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=101 | elapsed=1.699 ms (1699 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.637 | cumulative=75.376 ms / 101 calls (avg=0.746 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=102 | elapsed=1.486 ms (1486 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.805 | cumulative=76.862 ms / 102 calls (avg=0.754 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=103 | elapsed=1.505 ms (1505 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.879 | cumulative=78.367 ms / 103 calls (avg=0.761 ms/call) | path=omp_cand | openmp=1
